# Mediçao de tempo de algoritmos de busca (WORST CASE): 
#Tamanho       LSearch        BSearch        BSearch_Rec    LBound         UBound         TSearch        ISearch        ESearch        
3020000        574973.76      114.34         125.09         129.29         136.62         122.99         118.11         120.90         
3030000        576299.29      114.89         127.40         124.96         135.71         115.73         124.12         120.00         
3040000        578289.04      113.85         133.12         127.60         120.06         132.84         125.16         135.15         
3050000        578754.90      124.19         130.12         130.11         113.78         116.15         122.65         117.83         
3060000        585568.28      112.80         136.96         123.76         124.67         122.08         120.76         110.99         
3070000        585941.94      110.43         136.62         135.71         120.27         121.12         117.83         109.45         
3080000        588441.21      108.40         130.61         123.35         118.46         127.96         114.55         108.05         
3090000        599862.73      128.16         132.08         125.30         119.29         119.29         116.50         114.47         
3100000        600851.38      122.09         134.10         124.11         124.19         122.71         117.47         111.75         
3110000        609235.67      119.09         141.72         121.53         122.44         124.04         121.53         129.56         
3120000        608010.40      120.48         131.73         121.74         122.15         123.77         132.70         115.73         
3130000        600864.51      122.23         126.84         122.08         125.37         121.73         125.58         118.59         
3140000        601914.50      117.41         131.17         125.16         121.53         128.03         122.16         116.92         
3150000        604916.46      120.97         140.25         124.25         119.78         126.97         116.57         117.06         
3160000        609180.42      119.50         131.38         125.37         114.89         119.78         125.02         113.78         
3170000        611970.90      138.36         135.91         117.55         116.70         122.51         122.23         112.80         
3180000        614042.14      127.05         131.45         118.38         115.52         122.51         116.71         114.76         
3190000        612128.92      128.86         138.99         120.55         128.03         126.63         125.02         116.14         
3200000        616616.47      124.18         131.86         123.07         117.90         136.27         126.98         110.98         
3210000        614774.70      120.83         134.18         118.18         111.54         134.45         117.62         129.21         
3220000        617478.47      121.04         141.72         119.99         112.87         138.15         119.58         116.71         
3230000        617483.00      119.43         133.97         132.29         120.49         119.01         120.27         115.10         
3240000        623314.27      120.62         127.74         121.04         125.09         126.63         118.39         106.44         
3250000        624612.39      126.35         127.53         120.97         118.31         119.78         119.09         118.38         
3260000        626589.02      119.99         128.38         128.44         118.88         113.08         116.92         115.67         
3270000        630869.15      117.27         131.87         121.18         121.39         118.74         125.30         110.35         
3280000        635538.01      119.37         132.01         126.76         124.05         122.78         121.81         110.49         
3290000        540921.46      117.62         128.59         124.81         117.82         131.87         119.51         108.75         
3300000        566136.30      120.76         134.73         123.97         123.41         126.63         120.48         108.75         
3310000        325591.90      125.23         133.34         132.28         134.66         131.52         115.17         109.93         
3320000        634428.72      118.67         132.84         120.06         121.11         118.81         127.75         111.33         
3330000        646047.52      131.94         131.31         191.65         124.67         110.91         117.41         109.38         
3340000        640291.39      119.50         127.40         120.76         121.60         116.71         118.87         112.73         
3350000        533896.57      124.32         135.29         123.35         124.12         115.73         124.11         108.12         
3360000        412229.29      117.62         132.08         128.10         122.09         122.51         138.29         109.86         
3370000        469068.39      121.46         131.09         122.51         123.98         114.82         138.36         114.69         
3380000        504000.94      137.24         137.46         129.98         122.79         119.23         128.37         112.24         
3390000        660371.09      120.83         132.50         139.20         123.35         115.24         118.25         120.13         
3400000        606993.81      121.04         131.10         132.64         123.07         113.77         133.75         121.74         
3410000        572818.29      122.08         130.19         123.98         123.00         122.16         125.79         123.69         
3420000        648820.06      133.12         131.45         127.95         124.74         112.52         123.90         194.73         
3430000        670125.24      117.06         133.75         126.00         124.46         112.59         126.49         129.07         
3440000        660356.93      118.66         135.85         121.60         124.12         116.71         122.58         118.25         
3450000        664292.78      119.58         129.84         129.00         116.71         114.12         121.32         121.11         
3460000        456139.54      121.39         134.24         122.02         122.16         122.72         130.47         123.56         
3470000        380213.71      119.29         128.10         141.65         122.44         131.23         123.48         126.55         
3480000        398867.59      122.86         130.68         124.88         134.38         129.00         143.53         124.11         
3490000        438271.41      118.66         125.86         118.18         120.34         131.45         118.53         125.65         
3500000        678180.89      125.86         130.81         113.08         122.09         124.18         116.64         121.46         
3510000        663220.49      123.41         130.89         114.33         120.62         120.13         112.59         116.92         
3520000        278437.72      127.95         132.35         114.34         134.17         125.02         122.79         118.25         
3530000        409118.42      131.52         147.44         118.32         123.90         131.52         124.74         121.11         
